,Category,Description
0, Upper Body Wear Tops,"Cheer on your Florida State Seminoles in this Thriller hoodie! Showing off your team pride is just as important as remembering to bring the tickets to the big Florida State Seminoles game. Put your spirit on display with this hoodie, which features a stylish contrasting color design and quality embroidered Florida State Seminoles graphics that will show everyone who youre rooting for!"
1, Upper Body Wear Tops,"Celebrate your Baltimore Ravens fandom during the cold weather in this Resist hoodie from Antigua! This cozy full zip hoodie features team name and Baltimore Ravens logo on the front, as well as contrast color lining inside the drawstring hood. It also has two front pockets, a tagless collar and fleece lining that will keep you comfortable while you cheer on the Baltimore Ravens to victory."
2, Upper Body Wear Tops,"     A faux sheepskin bat-sleeve (Dolman) top in a creamy ivory color with a relaxed design, pleated neckline, and zipper up the back. Pairs perfectly with printed pants, pencil skirts, and skinny jeans. Vegan leather / Polyester lining Imported  "
3, Upper Body Wear Tops,"Don't let a cold snap keep you from supporting your Tar Heels in person. Columbia's Klamath Range II half zip pullover sweatshirt will keep you cozy and rock your North Carolina pride. This jacket's lightweight fleece will keep the chills away, while an embroidered UNC logo and contrast team-colored accents boost your spirit. Youll be ready to cheer the Tar Heels to victory!"
4, Upper Body Wear Tops,"The time has come for the Atlantic 10 Conference teams to battle it out for the Cross Country Championships. They are ready to show off their skills! Make sure to support your favorite team as they go for the win by rockin' this commemorative tee. It features an A-10 Championship graphic on the front, so everyone will know you're stoked to watch the events!"
5, Upper Body Wear Tops,Celebrate your fandom with this Miami Hurricanes Arch T-shirt. It features printed Miami Hurricanes graphics on the front. This stylish tee will let your represent your Miami Hurricanes everywhere you go!
6, Upper Body Wear Tops,"Cheer on your Rutgers Scarlet Knights in this Breaking Hearts tank top! You love watching the Rutgers Scarlet Knights play, and you find any excuse to show your team spirit. This cool tank features printed Rutgers Scarlet Knights graphics with glitter accents, a comfy tri-blend construct, and a racerback so you can look great while showing your team pride on game day."
7, Upper Body Wear Tops,Celebrate your Florida Gators fandom with this Icon Striped Rugby long sleeve polo! Dress up for a more formal occasion while showing off your team pride with this Florida Gators polo. An embroidered Florida Gators logo sits on the left chest and the polo comes in team colors.
8, Upper Body Wear Tops,"Celebrate your Maryland Terrapins fandom with this Billboard hoodie. The front chest features a sleek Maryland Terrapins graphic, so you can proudly declare your dedication to the best team in the land. Keep warm and cozy while you cheer on your Maryland Terrapins to victory in this stylish hoodie!"
9, Upper Body Wear Tops,"When the season changes, the nights get longer and the days get colder. Each fall Blue Demons games get a little bit frostier and the light windbreaker youve had in your closet for three years will not hold up. Dress for warmth and DePaul pride with the Flanker fleece jacket from Columbia. It features an embroidered team logo on the chest, elastic cuffs and bungee drawcords at the hem. Youll sit comfy cozy at the next Blue Demons game, no matter how cold the weatherman says it will be!"
10, Clothing Accessories,Cheer on your favorite New Orleans Pelicans in this Current Logo Solid wool snapback hat! The crown of this hat holds embroidered New Orleans Pelicans graphics to let other fans know you mean business. Mitchell & Ness is embroidered above the adjustable strap of the hat to show off your New Orleans Pelicans style. Throw on your favorite New Orleans Pelicans tee and no one will miss your dedication to your team!
11, Clothing Accessories,Third (3rd) Recon Battalion patches. 3
12, Clothing Accessories,Get ready for NHL action with this unstructured slouch hat from the Reebok Face Off series!
13, Clothing Accessories,"Cheer on your Georgia Bulldogs in this Vintage Luck 1Fit Hat. It features mesh side and back panels, Georgia Bulldogs graphics on the front of the crown, a shamrock patch on the back of the crown, and a Top of the World patch on the left side of the crown. Bring on the good luck at your next Georgia Bulldogs game!"
14, Clothing Accessories,"Theres nothing better than watching the Seminoles dominate in every sport. Now you can watch your favorite team clear out the competition on the field in this Clean Up adjustable hat by '47 Brand! It features a 3D embroidered FSU graphic on the crown, ensuring that no matter which way you're facing, your pride is on display. The slide closure enables the perfect fit while cheering on FSU!"
15, Clothing Accessories,"There's nothing like winning the Super Bowl, so why not show off your Chiefs pride? This Side Patcher 59FIFTY fitted hat by New Era is adorned with a bold Chiefs logo on the front and a Super Bowl IV patch on the side. It also features a structured fit, an embroidered NFL shield at the back and team-colored accents. No matter how you decide to spend your day, either at a game or watching it at home, you'll be sporting Kansas City dedication all the way to non-stop victory!"
16, Clothing Accessories,"You dont save your Saints looks for game day. No, you sport New Orleans devotion every chance you get! With this Tactel trucker cap from New Era you can top off any look with your dedicated spirit. This 39THIRTY flex hat has an embroidered Saints logo on the crown and back for comfortable and cool team style! S/M fits 6 7/8 - 7 1/4	 M/L fits 7 1/8 - 7 1/2. Sizes are approximate."
17, Clothing Accessories,Keep your little UCF fan's noggin warm with this adorable knit beanie from Top of the World!
18, Clothing Accessories,"You can't go a day without representing your favorite team, and there's no better way to display your die-hard Hilltoppers pride than wearing some spirited headwear everywhere you go. Sport this Elementary adjustable hat for a bold show of Hilltoppers enthusiasm! With a full-color logo embroidered on the crown, a structured fit, and a hook-and-loop closure at the back, this adjustable hat is sure to add a little Hilltoppers flavor to every outfit."
