,Category,Description,label
0,"[79, 19, 14, 97]","[50, 9, 2, 52, 55, 224, 8, 6, 867, 64, 84, 43, 2, 11, 41, 15, 159, 35, 1133, 35, 881, 7, 289, 1, 997, 7, 1, 535, 52, 55, 224, 45, 489, 2, 48, 9, 136, 5, 6, 64, 137, 17, 4, 71, 479, 180, 234, 3, 617, 27, 52, 55, 224, 20, 36, 21, 51, 219, 1041, 66, 687, 12]",1.0
1,"[79, 19, 14, 97]","[29, 2, 211, 169, 28, 193, 1, 213, 403, 8, 6, 951, 64, 24, 1004, 6, 149, 37, 342, 64, 17, 11, 92, 3, 211, 169, 18, 9, 1, 25, 35, 271, 35, 195, 180, 123, 480, 1, 281, 750, 26, 94, 59, 155, 25, 145, 4, 756, 255, 3, 62, 123, 36, 21, 34, 10, 113, 54, 10, 50, 9, 1, 211, 169, 7, 196]",1.0
2,"[79, 19, 14, 97]","[4, 875, 692, 1039, 89, 691, 53, 8, 4, 790, 563, 180, 5, 4, 680, 234, 958, 306, 3, 233, 30, 1, 76, 974, 668, 5, 56, 42, 943, 519, 3, 393, 1146, 611, 720, 258, 123, 412]",1.0
3,"[79, 19, 14, 97]","[410, 114, 4, 213, 292, 34, 10, 24, 332, 2, 189, 126, 8, 581, 751, 606, 1078, 925, 605, 342, 345, 822, 21, 34, 10, 149, 3, 373, 2, 204, 243, 41, 6, 921, 248, 62, 21, 34, 1, 705, 868, 54, 31, 27, 652, 18, 3, 195, 201, 160, 1145, 2, 48, 110, 58, 108, 7, 50, 1, 189, 126, 7, 196]",1.0
4,"[79, 19, 14, 97]","[1, 366, 59, 509, 12, 1, 710, 483, 1062, 829, 7, 959, 26, 49, 12, 1, 1023, 748, 828, 77, 44, 108, 7, 51, 43, 227, 764, 61, 88, 7, 197, 2, 99, 11, 35, 77, 109, 12, 1, 424, 102, 601, 6, 861, 38, 26, 17, 31, 907, 1033, 104, 9, 1, 25, 74, 219, 21, 223, 66, 1086, 7, 398, 1, 614]",1.0
5,"[79, 19, 14, 97]","[29, 2, 28, 5, 6, 212, 240, 244, 105, 26, 17, 56, 212, 240, 20, 9, 1, 25, 6, 71, 38, 21, 114, 2, 639, 2, 212, 240, 477, 10, 109]",1.0
6,"[79, 19, 14, 97]","[50, 9, 2, 322, 335, 172, 8, 6, 746, 399, 237, 53, 10, 139, 320, 1, 322, 335, 172, 1017, 3, 10, 242, 349, 672, 7, 51, 2, 11, 48, 6, 68, 237, 17, 56, 322, 335, 172, 20, 5, 464, 160, 4, 340, 545, 683, 3, 4, 910, 74, 10, 47, 86, 287, 54, 84, 2, 11, 41, 9, 45, 106]",1.0
7,"[79, 19, 14, 97]","[29, 2, 52, 80, 28, 5, 6, 1057, 947, 965, 57, 89, 358, 40, 30, 12, 4, 170, 659, 823, 54, 84, 43, 2, 11, 41, 5, 6, 52, 80, 358, 31, 27, 52, 80, 18, 550, 9, 1, 98, 60, 3, 1, 358, 432, 8, 11, 143]",1.0
8,"[79, 19, 14, 97]","[29, 2, 154, 158, 28, 5, 6, 857, 64, 1, 25, 60, 17, 4, 421, 154, 158, 104, 74, 10, 47, 929, 788, 2, 282, 7, 1, 207, 11, 8, 1, 1125, 34, 93, 3, 149, 54, 10, 50, 9, 2, 154, 158, 7, 196, 8, 6, 71, 64]",1.0
9,"[79, 19, 14, 97]","[151, 1, 294, 917, 1, 307, 85, 709, 3, 1, 833, 85, 906, 528, 870, 323, 427, 200, 85, 4, 32, 799, 621, 3, 1, 451, 1135, 806, 276, 8, 2, 1010, 12, 685, 658, 21, 328, 1142, 30, 40, 12, 496, 3, 677, 41, 5, 1, 670, 62, 122, 24, 1066, 26, 17, 31, 27, 11, 18, 9, 1, 60, 152, 474, 3, 912, 587, 22, 1, 135, 110, 894, 340, 149, 22, 1, 140, 323, 427, 45, 147, 297, 463, 213, 1, 571, 570, 26, 21, 58]",1.0
10,"[33, 75]","[50, 9, 2, 99, 69, 115, 198, 8, 6, 953, 18, 641, 772, 858, 73, 1, 125, 13, 6, 73, 732, 27, 69, 115, 198, 20, 7, 114, 738, 438, 223, 10, 210, 773, 1106, 792, 15, 27, 995, 1, 153, 983, 13, 1, 73, 7, 51, 43, 2, 69, 115, 198, 63, 390, 9, 2, 99, 69, 115, 198, 38, 3, 147, 39, 21, 440, 2, 282, 7, 2, 11]",1.0
11,"[33, 75]","[662, 1103, 1068, 980, 1037, 644]",1.0
12,"[33, 75]","[85, 108, 12, 1096, 298, 5, 6, 812, 752, 73, 24, 1, 978, 455, 43, 760]",1.0
